n_estimators,learning_rate,max_depth,cv_accuracy,test_accuracy,test_f1,run_id
50,0.05,3,0.9443349753694582,0.9444444444444444,0.944269005847953,eba5a2f727874e0a812b84900dd9073a
50,0.05,5,0.9086206896551724,0.8888888888888888,0.8895061728395063,ace0235e13b441a48084545226f26b76
50,0.1,3,0.9443349753694582,0.9444444444444444,0.944269005847953,c579c727bd1b4597bdbcaf33de4569ee
50,0.1,5,0.9086206896551724,0.8888888888888888,0.8895061728395063,6b21704335bf4f0ebe27b9ead0aee22e
50,0.2,3,0.9514778325123153,0.9444444444444444,0.944269005847953,f9c77b3e33c44829b842e907c64e62d0
50,0.2,5,0.9017241379310346,0.8888888888888888,0.8895061728395063,22a25d14f6d444f29699d65de53909d9
100,0.05,3,0.9443349753694582,0.9444444444444444,0.944269005847953,41443b8131814eadb33335f232eca08e
100,0.05,5,0.9017241379310346,0.8888888888888888,0.8895061728395063,ca1b4d2fa8254794b28416bb2bbf43e0
100,0.1,3,0.9514778325123153,0.9444444444444444,0.944269005847953,b557f69c70e74bccbafcf41f151820c5
100,0.1,5,0.9017241379310346,0.8888888888888888,0.8895061728395063,39a851d79c6049ab89a42f1849fa2499
100,0.2,3,0.9371921182266011,0.9444444444444444,0.944269005847953,3a9fabfb8e544297a536eb0286185cb0
100,0.2,5,0.9160098522167488,0.9444444444444444,0.944269005847953,0931451ae8754efe96de48080f210be4
200,0.05,3,0.9514778325123153,0.9444444444444444,0.944269005847953,9b09859dea7441c48f7562668605f994
200,0.05,5,0.9017241379310346,0.8888888888888888,0.8895061728395063,b975449c71644b4eb36278958909412c
200,0.1,3,0.9371921182266011,0.9444444444444444,0.944269005847953,7923349b12a948239c8eff56d1e3dfd5
200,0.1,5,0.9371921182266011,0.9444444444444444,0.944269005847953,0ef4c98a7eae4349914c2bf186e81706
200,0.2,3,0.9371921182266011,0.9444444444444444,0.944269005847953,6f0251c8bd8541b08a4600cc3283124b
200,0.2,5,0.9160098522167488,0.9444444444444444,0.944269005847953,a073d16fb7694c4f84d6c4214ba727fe
